Please select your school,Time of the Day the behavior occurred?,Date of Incident,Is the referral for a minor or a major violation?,Select the Classroom Managed Behavior (Do not include student names in text boxes) - Selected Choice,Select the Major Referral,Where did the incident take place?,Enrollment_SchoolID,Ethnicity,fre,Gender,Grade_Level,LunchStatus,Student Identifier,Year,Term,dr.studentminors,Student_Number
Shermer High School,1:00pm - 2:00pm,2024-04-12,Minor Violation (5 times in the same quarter),Preparedness,,Classroom,105.0,W,W,M,7,F,A13607390BZD,2023-2024,4Q,3.0,
Shermer High School,8:00am - 9:00am,2024-04-17,Minor Violation (5 times in the same quarter),Disruption,,Classroom,105.0,W,W,M,7,F,A13607390BZD,2023-2024,4Q,4.0,
Shermer High School,1:00pm - 2:00pm,2024-05-14,Minor Violation (5 times in the same quarter),Disruption,,Classroom,105.0,W,W,M,7,F,A13607390BZD,2023-2024,4Q,5.0,
Shermer High School,9:00am - 10:00am,2024-09-16,Minor Violation (5 times in the same quarter),Refusal to do work,,Classroom,105.0,W,W,M,8,F,A13607390BZD,2024-2025,1Q,1.0,
Shermer High School,1:00pm - 2:00pm,2024-09-16,Minor Violation (5 times in the same quarter),Insubordination,,Gym,105.0,W,W,M,8,F,A13607390BZD,2024-2025,1Q,2.0,
Shermer High School,12:00pm - 1:00pm,2024-11-18,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Hallway,105.0,W,W,M,8,F,A13607390BZD,2024-2025,2Q,1.0,
Shermer High School,9:00am - 10:00am,2024-12-05,Major Violation,,Criminal use or modification of technology,Classroom,105.0,W,W,M,8,F,A13607390BZD,2024-2025,2Q,1.0,
Bayside,2:00pm -3:00pm,2025-01-08,Minor Violation (5 times in the same quarter),Inappropriate Verbal Language,,Gym,15.0,W,W,F,3,F,A15737516BZD,2024-2025,3Q,1.0,
Shermer High School,2:00pm -3:00pm,2024-11-13,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Lobby/Commons,105.0,W,W,F,7,F,A14064242BZD,2024-2025,2Q,1.0,
Shermer High School,1:00pm - 2:00pm,2024-11-11,Minor Violation (5 times in the same quarter),Misuse of electronic devices,,Classroom,105.0,W,W,F,7,F,A14064242BZD,2024-2025,2Q,2.0,
Shermer High School,2:00pm -3:00pm,2024-11-13,Major Violation,,Continued Misconduct,Media Center,105.0,W,W,F,7,F,A14064242BZD,2024-2025,2Q,1.0,
Shermer High School,2:00pm -3:00pm,2024-11-13,Minor Violation (5 times in the same quarter),Insubordination,,Hallway,105.0,W,W,F,7,F,A14064242BZD,2024-2025,2Q,2.0,
Shermer High School,11:00am - 12:00pm,2025-01-09,Minor Violation (5 times in the same quarter),Refusal to do work,,Gym,105.0,W,W,F,7,F,A14064242BZD,2024-2025,3Q,1.0,
Shermer High School,11:00am - 12:00pm,2025-01-17,Minor Violation (5 times in the same quarter),Refusal to do work,,Gym,105.0,W,W,F,7,F,A14064242BZD,2024-2025,3Q,2.0,
Shermer High School,9:00am - 10:00am,2025-01-28,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Classroom,105.0,W,W,F,7,F,A14064242BZD,2024-2025,3Q,3.0,
Shermer High School,2:00pm -3:00pm,2025-02-05,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Hallway,105.0,W,W,F,7,F,A14064242BZD,2024-2025,3Q,4.0,
Shermer High School,11:00am - 12:00pm,2024-09-18,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Classroom,105.0,W,W,M,9,F,A13065230BZD,2024-2025,1Q,1.0,
Shermer High School,1:00pm - 2:00pm,2024-11-19,Minor Violation (5 times in the same quarter),Disruption,,Classroom,105.0,W,W,M,9,F,A13065230BZD,2024-2025,2Q,1.0,
Springfield Elementary,1:00pm - 2:00pm,2024-05-17,Minor Violation (5 times in the same quarter),Disruption,,Assembly/Special Event/Field Trip,17.0,W,W,M,0,R,A15857069BZD,2023-2024,4Q,1.0,
Bayside,After School,2024-10-01,Major Violation,,Continued Misconduct,Bus,15.0,W,W,F,4,F,A15244859BZD,2024-2025,1Q,0.0,
Bayside,12:00pm - 1:00pm,2024-10-03,Minor Violation (5 times in the same quarter),Disruption,,Cafeteria,15.0,W,W,F,4,F,A15244859BZD,2024-2025,1Q,1.0,
Bayside,1:00pm - 2:00pm,2024-10-29,Minor Violation (5 times in the same quarter),Disruption,,Classroom,15.0,W,W,F,4,F,A15244859BZD,2024-2025,2Q,1.0,
Bayside,12:00pm - 1:00pm,2024-11-06,Minor Violation (5 times in the same quarter),Disruption,,Music Room,15.0,W,W,F,4,F,A15244859BZD,2024-2025,2Q,2.0,
Bayside,After School,2024-11-12,Major Violation,,Continued Misconduct,Bus,15.0,W,W,F,4,F,A15244859BZD,2024-2025,2Q,2.0,
Bayside,8:00am - 9:00am,2024-12-10,Minor Violation (5 times in the same quarter),Other,,Classroom,15.0,W,W,F,4,F,A15244859BZD,2024-2025,2Q,3.0,
Bayside,11:00am - 12:00pm,2024-12-10,Major Violation,,Exceeded minor maximum count,Classroom,15.0,W,W,F,4,F,A15244859BZD,2024-2025,2Q,3.0,
Bayside,10:00am-11:00am,2025-02-07,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Classroom,15.0,W,W,F,4,F,A15244859BZD,2024-2025,3Q,1.0,
Bayside,9:00am - 10:00am,2024-09-12,Minor Violation (5 times in the same quarter),Other,,Classroom,15.0,W,W,F,4,P,A16568006BZD,2024-2025,1Q,1.0,
Bayside,12:00pm - 1:00pm,2024-10-24,Minor Violation (5 times in the same quarter),Other,,Cafeteria,15.0,W,W,F,4,P,A16568006BZD,2024-2025,2Q,1.0,
Bayside,12:00pm - 1:00pm,2025-01-28,Minor Violation (5 times in the same quarter),Other,,Cafeteria,15.0,W,W,F,4,P,A16568006BZD,2024-2025,3Q,1.0,
Bayside,12:00pm - 1:00pm,2024-09-12,Minor Violation (5 times in the same quarter),Disruption,,Classroom,15.0,W,W,F,3,F,A15598055BZD,2024-2025,1Q,1.0,
Bayside,9:00am - 10:00am,2024-09-24,Minor Violation (5 times in the same quarter),Refusal to do work,,Classroom,15.0,W,W,F,3,F,A15598055BZD,2024-2025,1Q,2.0,
Shermer High School,8:00am - 9:00am,2024-03-19,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Classroom,105.0,W,W,M,5,F,A13746065BZD,2023-2024,4Q,1.0,
Shermer High School,12:00pm - 1:00pm,2024-04-29,Minor Violation (5 times in the same quarter),Inappropriate Verbal Language,,Classroom,105.0,W,W,M,5,F,A13746065BZD,2023-2024,4Q,2.0,
Bayside,1:00pm - 2:00pm,2024-09-10,Minor Violation (5 times in the same quarter),Other,,Classroom,15.0,W,W,F,2,F,A15470483BZD,2024-2025,1Q,1.0,
Bayside,2:00pm -3:00pm,2024-09-16,Minor Violation (5 times in the same quarter),Disruption,,Bus Area/Loading Area,15.0,W,W,F,2,F,A15470483BZD,2024-2025,1Q,2.0,
Bayside,11:00am - 12:00pm,2024-09-17,Minor Violation (5 times in the same quarter),Disruption,,Hallway,15.0,W,W,F,2,F,A15470483BZD,2024-2025,1Q,3.0,
Bayside,2:00pm -3:00pm,2024-09-18,Minor Violation (5 times in the same quarter),Disruption,,Classroom,15.0,W,W,F,2,F,A15470483BZD,2024-2025,1Q,4.0,
Bayside,8:00am - 9:00am,2024-10-02,Major Violation,,Threats,Gym,15.0,W,W,M,3,F,A15144395BZD,2024-2025,1Q,0.0,
Springfield Elementary,12:00pm - 1:00pm,2024-12-12,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Media Center,17.0,W,W,F,0,P,A16709360BZD,2024-2025,2Q,1.0,
Springfield Elementary,12:00pm - 1:00pm,2024-04-08,Minor Violation (5 times in the same quarter),Insubordination,,Classroom,17.0,W,W,M,0,P,A15877121BZD,2023-2024,4Q,1.0,
Springfield Elementary,12:00pm - 1:00pm,2024-04-12,Minor Violation (5 times in the same quarter),Insubordination,,Music Room,17.0,W,W,M,0,P,A15877121BZD,2023-2024,4Q,2.0,
Springfield Elementary,2:00pm -3:00pm,2024-04-15,Minor Violation (5 times in the same quarter),Disruption,,Classroom,17.0,W,W,M,0,P,A15877121BZD,2023-2024,4Q,3.0,
Springfield Elementary,1:00pm - 2:00pm,2024-04-16,Minor Violation (5 times in the same quarter),Other,,Classroom,17.0,W,W,M,0,P,A15877121BZD,2023-2024,4Q,4.0,
Springfield Elementary,9:00am - 10:00am,2024-04-19,Minor Violation (5 times in the same quarter),Other,,Bathroom,17.0,W,W,M,0,P,A15877121BZD,2023-2024,4Q,5.0,
Springfield Elementary,1:00pm - 2:00pm,2024-05-17,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Assembly/Special Event/Field Trip,17.0,W,W,M,0,P,A15877121BZD,2023-2024,4Q,6.0,
Hill Valley High School,8:00am - 9:00am,2024-09-12,Major Violation,,Continued Misconduct,Classroom,5.0,W,W,M,1,P,A16327580BZD,2024-2025,1Q,0.0,
Bayside,2:00pm -3:00pm,2025-02-06,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Classroom,15.0,W,W,F,4,F,A15142514BZD,2024-2025,3Q,1.0,
Hill Valley High School,11:00am - 12:00pm,2024-09-24,Minor Violation (5 times in the same quarter),Disruption,,Classroom,5.0,W,W,F,2,P,A15850796BZD,2024-2025,1Q,1.0,
Hill Valley High School,11:00am - 12:00pm,2024-09-20,Major Violation,,Assault,Cafeteria,5.0,W,W,M,3,F,A15467438BZD,2024-2025,1Q,0.0,
Hill Valley High School,1:00pm - 2:00pm,2024-09-17,Major Violation,,Fighting,Playground,5.0,W,W,M,3,F,A15467438BZD,2024-2025,1Q,0.0,
Hill Valley High School,9:00am - 10:00am,2024-09-18,Major Violation,,Harassment,Classroom,5.0,W,W,M,3,F,A15467438BZD,2024-2025,1Q,0.0,
Bayside,10:00am-11:00am,2024-08-20,Major Violation,,Fighting,Classroom,15.0,W,W,M,3,F,A15465983BZD,2024-2025,1Q,0.0,
Springfield Elementary,11:00am - 12:00pm,2024-04-12,Minor Violation (5 times in the same quarter),Other,,Lobby/Commons,17.0,W,W,M,0,F,A16298198BZD,2023-2024,4Q,1.0,
Springfield Elementary,2:00pm -3:00pm,2024-10-02,Minor Violation (5 times in the same quarter),Misuse of electronic devices,,Classroom,17.0,W,W,M,0,F,A16709366BZD,2024-2025,1Q,1.0,
Springfield Elementary,1:00pm - 2:00pm,2024-12-02,Minor Violation (5 times in the same quarter),Other,,Media Center,17.0,W,W,M,0,F,A16709366BZD,2024-2025,2Q,2.0,
Springfield Elementary,1:00pm - 2:00pm,2024-12-09,Minor Violation (5 times in the same quarter),Misuse of electronic devices,,Classroom,17.0,W,W,M,0,F,A16709366BZD,2024-2025,2Q,3.0,
Bayside,10:00am-11:00am,2024-12-05,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Classroom,15.0,W,W,M,2,P,A15849683BZD,2024-2025,2Q,1.0,
Bayside,11:00am - 12:00pm,2024-08-06,Minor Violation (5 times in the same quarter),Other,,Hallway,15.0,W,W,M,4,F,A14843549BZD,2024-2025,1Q,1.0,
Bayside,10:00am-11:00am,2024-08-09,Major Violation,,Continued Misconduct,Hallway,15.0,W,W,M,4,F,A14843549BZD,2024-2025,1Q,1.0,
Bayside,2:00pm -3:00pm,2024-10-03,Minor Violation (5 times in the same quarter),Other,,Hallway,15.0,W,W,M,3,F,A15531776BZD,2024-2025,1Q,1.0,
Springfield Elementary,12:00pm - 1:00pm,2024-10-02,Minor Violation (5 times in the same quarter),Other,,Classroom,17.0,W,W,F,0,P,A15414194BZD,2024-2025,1Q,1.0,
Springfield Elementary,11:00am - 12:00pm,2024-04-25,Minor Violation (5 times in the same quarter),Other,,Lobby/Commons,17.0,W,W,M,0,F,A15230375BZD,2023-2024,4Q,1.0,
Springfield Elementary,1:00pm - 2:00pm,2024-04-30,Major Violation,,Continued Misconduct,Classroom,17.0,W,W,M,0,F,A15230375BZD,2023-2024,4Q,0.0,
Rydell High School,11:00am - 12:00pm,2024-11-04,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Playground,35.0,W,W,M,1,F,A15932738BZD,2024-2025,2Q,1.0,
Rydell High School,8:00am - 9:00am,2024-11-15,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Classroom,35.0,W,W,M,1,F,A15932738BZD,2024-2025,2Q,2.0,
Rydell High School,8:00am - 9:00am,2024-11-18,Minor Violation (5 times in the same quarter),Inappropriate Verbal Language,,Classroom,35.0,W,W,M,1,F,A15932738BZD,2024-2025,2Q,3.0,
Bayside,12:00pm - 1:00pm,2024-11-25,Minor Violation (5 times in the same quarter),Inappropriate Verbal Language,,Classroom,15.0,W,W,M,3,P,A15144410BZD,2024-2025,2Q,1.0,
Bayside,8:00am - 9:00am,2025-02-05,Minor Violation (5 times in the same quarter),Insubordination,,Classroom,15.0,W,W,F,4,R,A14843558BZD,2024-2025,3Q,1.0,
Shermer High School,11:00am - 12:00pm,2024-12-04,Minor Violation (5 times in the same quarter),Insubordination,,Classroom,105.0,W,W,M,10,F,A14899361BZD,2024-2025,2Q,1.0,
Shermer High School,11:00am - 12:00pm,2025-01-16,Minor Violation (5 times in the same quarter),Disruption,,Classroom,105.0,W,W,M,10,F,A14899361BZD,2024-2025,3Q,1.0,
Shermer High School,11:00am - 12:00pm,2025-01-29,Minor Violation (5 times in the same quarter),Misuse of electronic devices,,Classroom,105.0,W,W,M,10,F,A14899361BZD,2024-2025,3Q,2.0,
Hill Valley High School,11:00am - 12:00pm,2024-12-13,Major Violation,,Assault,Hallway,5.0,W,W,M,1,F,A15856592BZD,2024-2025,2Q,0.0,
Hill Valley High School,2:00pm -3:00pm,2025-01-24,Major Violation,,Continued Misconduct,Classroom,5.0,W,W,M,0,F,A15843587BZD,2024-2025,3Q,0.0,
Hill Valley High School,2:00pm -3:00pm,2024-08-27,Major Violation,,Assault,Playground,5.0,W,W,F,1,P,A15849629BZD,2024-2025,1Q,0.0,
Shermer High School,12:00pm - 1:00pm,2024-03-06,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Classroom,105.0,W,W,M,11,P,A12440204BZD,2023-2024,4Q,1.0,
Shermer High School,12:00pm - 1:00pm,2024-03-06,Minor Violation (5 times in the same quarter),Refusal to do work,,Classroom,105.0,W,W,M,11,P,A12440204BZD,2023-2024,4Q,2.0,
Shermer High School,12:00pm - 1:00pm,2024-03-06,Major Violation,,Continued Misconduct,Classroom,105.0,W,W,M,11,P,A12440204BZD,2023-2024,4Q,2.0,
Shermer High School,1:00pm - 2:00pm,2024-04-05,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Gym,105.0,W,W,M,11,P,A12440204BZD,2023-2024,4Q,3.0,
Bayside,10:00am-11:00am,2024-09-04,Minor Violation (5 times in the same quarter),Disruption,,Classroom,15.0,W,W,F,2,P,A15849581BZD,2024-2025,1Q,1.0,
Bayside,11:00am - 12:00pm,2024-09-12,Minor Violation (5 times in the same quarter),Disruption,,Classroom,15.0,W,W,F,2,P,A15849581BZD,2024-2025,1Q,2.0,
Bayside,2:00pm -3:00pm,2024-10-25,Minor Violation (5 times in the same quarter),Disruption,,Classroom,15.0,W,W,F,2,P,A15849581BZD,2024-2025,2Q,1.0,
Bayside,12:00pm - 1:00pm,2024-11-20,Minor Violation (5 times in the same quarter),Disruption,,Classroom,15.0,W,W,F,2,P,A15849581BZD,2024-2025,2Q,2.0,
Shermer High School,12:00pm - 1:00pm,2024-03-04,Minor Violation (5 times in the same quarter),Insubordination,,Classroom,105.0,W,W,M,10,P,A12375296BZD,2023-2024,4Q,1.0,
Shermer High School,8:00am - 9:00am,2024-03-06,Minor Violation (5 times in the same quarter),Refusal to do work,,Classroom,105.0,W,W,M,10,P,A12375296BZD,2023-2024,4Q,2.0,
Shermer High School,10:00am-11:00am,2024-03-18,Minor Violation (5 times in the same quarter),Refusal to do work,,Classroom,105.0,W,W,M,10,P,A12375296BZD,2023-2024,4Q,3.0,
Springfield Elementary,11:00am - 12:00pm,2024-04-05,Minor Violation (5 times in the same quarter),Other,,Hallway,17.0,W,W,F,0,P,A14435471BZD,2023-2024,4Q,1.0,
Springfield Elementary,11:00am - 12:00pm,2024-04-10,Major Violation,,Fighting,Lobby/Commons,17.0,W,W,F,0,P,A14435471BZD,2023-2024,4Q,1.0,
Springfield Elementary,1:00pm - 2:00pm,2024-04-11,Major Violation,,Fighting,Classroom,17.0,W,W,F,0,P,A14435471BZD,2023-2024,4Q,1.0,
Springfield Elementary,10:00am-11:00am,2024-04-11,Major Violation,,Continued Misconduct,Classroom,17.0,W,W,F,0,P,A14435471BZD,2023-2024,4Q,1.0,
Springfield Elementary,8:00am - 9:00am,2024-04-16,Major Violation,,Continued Misconduct,Classroom,17.0,W,W,F,0,P,A14435471BZD,2023-2024,4Q,1.0,
Springfield Elementary,10:00am-11:00am,2024-04-17,Major Violation,,Continued Misconduct,Classroom,17.0,W,W,F,0,P,A14435471BZD,2023-2024,4Q,1.0,
Springfield Elementary,12:00pm - 1:00pm,2024-04-19,Major Violation,,Continued Misconduct,Bathroom,17.0,W,W,F,0,P,A14435471BZD,2023-2024,4Q,1.0,
Bayside,9:00am - 10:00am,2024-08-21,Minor Violation (5 times in the same quarter),Disruption,,Classroom,15.0,W,W,F,4,P,A15142526BZD,2024-2025,1Q,1.0,
Bayside,9:00am - 10:00am,2024-09-16,Minor Violation (5 times in the same quarter),Other,,Playground,15.0,W,W,F,4,F,A15142526BZD,2024-2025,1Q,2.0,
Bayside,After School,2024-10-02,Minor Violation (5 times in the same quarter),Other,,Classroom,15.0,W,W,F,4,F,A15142526BZD,2024-2025,1Q,3.0,
Bayside,12:00pm - 1:00pm,2024-10-24,Minor Violation (5 times in the same quarter),Other,,Cafeteria,15.0,W,W,F,4,P,A15142526BZD,2024-2025,2Q,1.0,
Bayside,12:00pm - 1:00pm,2024-10-23,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Cafeteria,15.0,W,W,F,4,P,A15142526BZD,2024-2025,2Q,2.0,
Bayside,8:00am - 9:00am,2024-10-25,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Lobby/Commons,15.0,W,W,F,4,P,A15142526BZD,2024-2025,2Q,3.0,
Bayside,11:00am - 12:00pm,2024-10-25,Major Violation,,"Continued Misconduct,Exceeded minor maximum count",Cafeteria,15.0,W,W,F,4,P,A15142526BZD,2024-2025,2Q,3.0,
Bayside,8:00am - 9:00am,2024-11-01,Minor Violation (5 times in the same quarter),Disruption,,Classroom,15.0,W,W,F,4,P,A15142526BZD,2024-2025,2Q,4.0,
Bayside,9:00am - 10:00am,2024-11-13,Major Violation,,"Harassment,Bullying",Classroom,15.0,W,W,F,4,P,A15142526BZD,2024-2025,2Q,4.0,
Bayside,Before School,2024-11-12,Major Violation,,Continued Misconduct,Lobby/Commons,15.0,W,W,F,4,P,A15142526BZD,2024-2025,2Q,4.0,
Bayside,10:00am-11:00am,2024-11-25,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Hallway,15.0,W,W,F,4,P,A15142526BZD,2024-2025,2Q,5.0,
Bayside,10:00am-11:00am,2024-12-10,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Playground,15.0,W,W,F,4,P,A15142526BZD,2024-2025,2Q,6.0,
Bayside,8:00am - 9:00am,2025-01-30,Major Violation,,Fighting,Hallway,15.0,W,W,F,4,P,A15142526BZD,2024-2025,3Q,0.0,
Shermer High School,1:00pm - 2:00pm,2024-04-05,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Gym,105.0,H,"W,H",M,10,F,A12375329BZD,2023-2024,4Q,1.0,
Shermer High School,12:00pm - 1:00pm,2024-04-23,Minor Violation (5 times in the same quarter),Insubordination,,Hallway,105.0,H,"W,H",M,10,F,A12375329BZD,2023-2024,4Q,2.0,
Bayside,9:00am - 10:00am,2024-09-19,Minor Violation (5 times in the same quarter),Other,,Bus,15.0,H,"W,H",M,3,F,A16160957BZD,2024-2025,1Q,1.0,
Bayside,10:00am-11:00am,2024-09-20,Minor Violation (5 times in the same quarter),Refusal to do work,,Classroom,15.0,H,"W,H",M,3,F,A16160957BZD,2024-2025,1Q,2.0,
Bayside,10:00am-11:00am,2024-09-25,Minor Violation (5 times in the same quarter),Refusal to do work,,Classroom,15.0,H,"W,H",M,3,F,A16160957BZD,2024-2025,1Q,3.0,
Bayside,1:00pm - 2:00pm,2024-09-11,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Playground,15.0,W,W,F,2,F,A15492620BZD,2024-2025,1Q,1.0,
Bayside,9:00am - 10:00am,2024-09-03,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Classroom,15.0,W,W,F,2,F,A15492620BZD,2024-2025,1Q,2.0,
Bayside,9:00am - 10:00am,2024-09-25,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Classroom,15.0,W,W,F,2,P,A15492620BZD,2024-2025,1Q,3.0,
Bayside,2:00pm -3:00pm,2024-09-25,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Classroom,15.0,W,W,F,2,P,A15492620BZD,2024-2025,1Q,4.0,
Bayside,2:00pm -3:00pm,2024-10-22,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Classroom,15.0,W,W,F,2,P,A15492620BZD,2024-2025,2Q,1.0,
Bayside,12:00pm - 1:00pm,2024-10-30,Minor Violation (5 times in the same quarter),Disruption,,Cafeteria,15.0,W,W,M,4,P,A15553787BZD,2024-2025,2Q,1.0,
Bayside,11:00am - 12:00pm,2024-11-14,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Classroom,15.0,W,W,M,4,P,A15553787BZD,2024-2025,2Q,2.0,
Bayside,2:00pm -3:00pm,2024-12-06,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Classroom,15.0,W,W,M,4,P,A15553787BZD,2024-2025,2Q,3.0,
Bayside,10:00am-11:00am,2024-12-09,Major Violation,,Exceeded minor maximum count,Classroom,15.0,W,W,M,4,P,A15553787BZD,2024-2025,2Q,3.0,
Bayside,11:00am - 12:00pm,2025-01-27,Minor Violation (5 times in the same quarter),Inappropriate Verbal Language,,Classroom,15.0,W,W,M,4,P,A15553787BZD,2024-2025,3Q,1.0,
Springfield Elementary,8:00am - 9:00am,2024-03-22,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Classroom,17.0,W,W,F,1,F,A15959621BZD,2023-2024,4Q,1.0,
